,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
33,33,25450.8,25460.6,1798.4,1798.1,1798.2,1174.0,1174.1,1174.5,8362.9,8364.7,8363.3,1719.5,1719.9,1719.8,4304.5,4304.4,94041.9,94111.3,12761.7,12763.3,12765.7,2385.7,2387.5,2388.8,1408.5,1408.4,1408.4,2265.6,2265.7,2266.0,14214.1,14214.7,21600.4,21594.2,4536.9,4536.3,4536.5,1916.4,1916.7,1917.7,5858.9,5858.5,5859.0,2307.9,2307.6,2308.6,63438.0,63358.9,5044.8,5045.6,1491.7,1490.9,1491.0,4380.7,4380.5,4380.9,1318.6,1317.9,1318.0,1487.7,1487.1,1487.9,4554.3,4553.0,29.889999,21.540001
34,34,25450.9,25450.8,1798.0,1797.5,1797.7,1173.7,1173.6,1174.0,8358.5,8359.4,8359.8,1718.7,1718.2,1718.9,4303.0,4303.6,93966.1,94211.6,12762.7,12767.2,12760.7,2385.2,2386.5,2388.7,1407.9,1407.9,1407.9,2265.7,2265.4,2265.5,14204.5,14216.3,21584.3,21605.9,4535.2,4533.5,4534.1,1916.2,1916.6,1917.7,5858.0,5858.8,5858.8,2307.0,2307.4,2308.1,63274.8,63401.7,5047.2,5045.7,1492.0,1491.2,1491.5,4381.9,4382.7,4383.0,1318.0,1317.6,1317.6,1488.8,1488.3,1487.9,4541.8,4541.9,29.910000,21.740000
35,35,25454.2,25462.3,1799.3,1798.7,1798.9,1174.0,1174.0,1174.5,8358.0,8361.2,8360.5,1720.4,1720.6,1720.4,4304.7,4304.5,94279.1,94526.3,12764.1,12771.6,12767.5,2385.4,2387.5,2389.0,1408.3,1408.2,1408.3,2265.9,2266.6,2266.9,14211.4,14212.3,21604.2,21598.8,4535.7,4533.7,4534.0,1916.5,1917.0,1918.0,5860.7,5861.4,5861.4,2309.3,2309.3,2309.6,63316.2,63375.2,5046.0,5045.3,1491.9,1491.3,1491.6,4383.1,4382.2,4383.7,1318.4,1317.4,1317.6,1487.9,1487.3,1487.8,4544.3,4543.5,29.910000,21.900000
36,36,25454.9,25450.8,1799.5,1799.1,1798.9,1174.1,1174.1,1174.5,8360.1,8362.0,8361.7,1720.6,1720.3,1720.7,4304.8,4304.7,94167.7,94334.9,12752.4,12754.5,12756.1,2384.7,2387.0,2388.6,1408.4,1408.2,1408.2,2266.9,2266.2,2266.7,14207.0,14209.1,21600.5,21591.3,4537.1,4537.4,4537.2,1916.8,1917.5,1918.4,5868.7,5867.5,5868.4,2310.2,2310.3,2310.8,63331.1,63425.0,5046.3,5046.8,1492.5,1491.7,1491.9,4383.0,4383.4,4383.7,1317.9,1317.2,1317.4,1488.2,1487.8,1487.9,4541.9,4541.5,29.910000,21.469999
37,37,25439.9,25440.2,1799.4,1799.0,1799.0,1174.2,1174.2,1174.7,8358.5,8358.2,8359.0,1720.0,1720.1,1720.3,4304.2,4304.3,94124.5,94280.6,12747.8,12751.3,12746.1,2384.9,2386.4,2388.1,1408.1,1408.0,1408.1,2267.2,2267.7,2267.7,14205.3,14206.1,21596.9,21602.9,4538.0,4537.1,4536.9,1916.9,1917.6,1917.9,5868.8,5866.4,5866.4,2312.2,2312.5,2312.4,63446.6,63551.2,5047.6,5047.3,1491.9,1491.1,1491.6,4383.1,4383.0,4383.3,1317.3,1316.7,1316.4,1488.2,1488.0,1487.9,4542.3,4541.8,29.910000,20.900000
38,38,25437.0,25440.3,1799.4,1799.1,1799.4,1174.3,1174.2,1174.7,8355.8,8356.1,8357.6,1720.1,1720.3,1720.6,4305.0,4304.9,94340.8,94524.9,12751.7,12758.3,12760.3,2384.0,2386.2,2388.3,1408.0,1407.9,1407.9,2267.2,2267.3,2268.1,14198.3,14207.1,21607.8,21605.0,4537.6,4537.1,4537.2,1916.4,1917.1,1917.7,5862.6,5862.0,5860.7,2310.7,2310.8,2311.1,63327.8,63406.4,5046.4,5046.1,1492.1,1491.3,1491.6,4380.6,4380.7,4381.9,1316.9,1316.4,1316.3,1488.0,1487.9,1488.0,4554.8,4553.8,29.920000,20.510000
39,39,25422.5,25437.6,1799.4,1799.0,1799.2,1174.0,1174.1,1174.5,8354.2,8355.7,8356.2,1720.8,1720.3,1721.1,4304.1,4304.5,94150.1,94426.8,12755.3,12765.4,12762.5,2383.8,2385.9,2387.5,1407.7,1407.6,1407.6,2266.9,2267.4,2267.3,14201.5,14202.2,21604.1,21604.7,4538.0,4536.4,4535.9,1916.5,1916.9,1918.0,5866.1,5865.8,5865.4,2312.0,2312.1,2312.5,63447.3,63405.7,5047.4,5048.3,1492.4,1491.9,1491.9,4383.0,4382.8,4382.9,1316.6,1315.8,1316.0,1488.9,1488.4,1488.7,4545.6,4545.3,29.879999,20.270000
40,40,25445.9,25440.0,1799.5,1798.9,1799.3,1173.6,1173.5,1173.9,8350.5,8350.5,8351.4,1719.8,1719.2,1719.3,4303.3,4303.3,94108.4,94207.2,12745.0,12751.9,12751.3,2383.4,2385.8,2387.1,1406.8,1406.7,1406.8,2264.8,2265.1,2265.7,14198.1,14199.8,21594.3,21603.0,4533.6,4534.0,4534.2,1916.6,1916.9,1917.7,5856.4,5855.9,5856.1,2309.4,2310.1,2310.5,63310.2,63379.5,5046.2,5044.8,1491.7,1490.9,1491.2,4377.0,4377.1,4377.3,1316.0,1315.1,1315.4,1487.9,1487.3,1487.7,4544.0,4543.2,29.910000,20.180000
41,41,25433.3,25460.5,1798.9,1798.5,1798.6,1173.0,1173.0,1173.3,8345.9,8348.2,8349.2,1718.2,1718.2,1718.8,4302.4,4302.1,94247.6,94304.8,12749.8,12751.5,12751.2,2382.9,2384.9,2386.9,1406.7,1406.6,1406.8,2266.0,2265.6,2266.0,14202.0,14208.4,21583.5,21612.4,4534.0,4533.1,4532.2,1916.4,1917.0,1918.1,5857.0,5858.4,5858.1,2310.5,2310.6,2311.0,63460.9,63459.6,5045.3,5045.0,1491.5,1490.5,1490.9,4375.7,4375.0,4375.6,1315.7,1315.2,1315.1,1487.9,1487.8,1487.6,4542.9,4542.2,29.879999,20.500000
42,42,25433.3,25441.0,1799.1,1798.5,1798.7,1172.6,1172.5,1173.0,8341.0,8345.9,8345.2,1718.7,1718.4,1718.0,4302.2,4302.6,94045.6,94348.1,12740.4,12749.2,12743.6,2384.1,2384.9,2386.8,1406.5,1406.5,1406.6,2265.4,2265.3,2266.1,14197.3,14202.0,21592.2,21598.1,4533.9,4532.8,4533.2,1916.6,1917.3,1917.8,5857.2,5857.5,5859.4,2310.8,2310.6,2311.3,63326.5,63358.3,5046.2,5045.5,1491.5,1490.9,1491.4,4375.9,4376.3,4376.7,1315.6,1315.1,1314.8,1487.5,1487.5,1487.3,4542.8,4542.5,29.910000,20.860001
