,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
61,61,23192.1,23191.8,1499.3,1499.0,1499.0,1101.4,1101.4,1101.4,6912.6,6912.9,6916.2,1400.7,1396.0,1393.2,3777.4,3778.2,89905.1,89953.8,11660.8,11659.4,11660.1,2207.3,2209.5,2210.6,1122.5,1122.7,1123.1,1908.5,1909.0,1909.7,13135.8,13136.3,19320.7,19317.0,3393.7,3392.1,3389.6,1766.3,1766.0,1766.4,4285.0,4274.8,4267.2,1953.2,1950.6,1948.4,59819.5,59865.7,4574.4,4574.4,1270.2,1269.5,1270.1,3805.1,3806.1,3807.6,1146.8,1146.8,1147.2,1381.0,1380.6,1381.3,4090.3,4090.8,28.410000,70.860001
62,62,23258.6,23254.3,1504.1,1503.9,1504.4,1101.4,1101.4,1101.4,6944.7,6946.7,6946.8,1425.9,1426.6,1427.3,3791.7,3792.3,90114.5,90151.4,11672.9,11681.5,11681.2,2209.3,2210.8,2211.9,1130.7,1130.6,1130.8,1916.1,1916.2,1916.4,13150.9,13154.9,19369.9,19333.8,3447.1,3445.0,3443.4,1770.6,1771.0,1771.4,4349.9,4349.0,4349.7,1983.5,1984.1,1984.9,60091.6,60232.4,4580.1,4580.0,1275.0,1274.7,1275.4,3810.6,3812.5,3813.9,1149.9,1149.6,1149.8,1381.8,1381.4,1382.1,4094.7,4095.3,28.450001,64.699997
63,63,23279.8,23284.4,1509.1,1509.0,1509.7,1101.4,1101.4,1101.4,6965.9,6968.2,6967.7,1429.0,1425.0,1418.6,3789.5,3788.5,89805.1,90140.6,11655.0,11654.4,11653.4,2212.1,2214.4,2216.8,1104.4,1105.8,1108.1,1898.5,1899.3,1901.1,13128.1,13133.2,19289.0,19299.3,3318.6,3324.9,3333.1,1763.9,1765.0,1766.5,4299.6,4306.8,4316.3,1936.9,1938.9,1940.9,60103.8,60207.3,4592.3,4591.5,1285.0,1284.4,1284.5,3826.4,3825.0,3823.3,1152.8,1151.9,1151.6,1383.0,1382.4,1382.6,4098.0,4097.2,28.430000,60.279999
64,64,23241.5,23268.6,1497.8,1497.0,1497.4,1101.4,1101.4,1101.4,6976.1,6977.2,6977.6,1412.6,1413.4,1414.9,3795.5,3795.9,90087.0,90198.4,11688.2,11690.7,11690.5,2216.4,2218.4,2219.6,1135.1,1135.5,1135.9,1915.2,1915.4,1915.7,13139.0,13140.5,19326.2,19325.4,3432.3,3432.4,3433.4,1768.7,1769.4,1770.1,4351.8,4356.0,4360.7,1949.7,1951.2,1953.2,60093.4,60190.5,4595.0,4595.7,1290.3,1289.1,1289.2,3822.6,3821.4,3820.7,1154.5,1153.4,1153.4,1384.0,1383.8,1383.6,4109.7,4103.3,28.450001,59.910000
65,65,23287.2,23300.7,1509.3,1509.2,1509.9,1101.4,1101.4,1101.4,6992.3,6993.3,6993.8,1422.7,1422.5,1422.9,3798.9,3798.6,90155.4,90308.7,11693.5,11690.9,11693.8,2216.4,2217.8,2218.6,1146.5,1146.7,1147.1,1927.3,1927.8,1928.6,13167.3,13171.5,19429.2,19415.2,3531.8,3533.0,3534.7,1776.8,1777.5,1778.3,4462.8,4463.2,4463.0,1992.4,1992.2,1992.3,60349.9,60407.1,4595.8,4595.2,1286.9,1285.6,1285.4,3821.8,3820.6,3821.3,1155.5,1154.6,1154.8,1384.3,1383.8,1383.8,4113.3,4102.1,28.469999,59.970001
66,66,23279.8,23277.9,1505.3,1505.8,1506.9,1101.4,1101.4,1101.4,7002.7,7005.2,7007.3,1419.8,1419.9,1420.6,3801.4,3802.1,90117.2,90380.1,11699.9,11706.9,11708.4,2215.8,2217.4,2219.4,1152.1,1152.1,1152.4,1931.2,1931.2,1932.4,13178.9,13179.0,19449.1,19447.5,3572.4,3573.3,3574.8,1780.5,1780.7,1781.8,4493.6,4491.9,4490.7,2006.1,2005.9,2006.3,60551.2,60632.8,4600.9,4601.6,1292.3,1290.8,1290.6,3825.6,3824.3,3822.8,1156.2,1154.7,1154.2,1379.2,1377.5,1376.1,4106.0,4102.0,28.450001,58.430000
67,67,23166.6,23166.2,1435.7,1433.3,1432.3,1101.5,1101.4,1101.4,6988.9,6988.5,6988.5,1368.6,1368.0,1367.8,3803.6,3803.6,89975.9,90193.0,11697.3,11698.5,11698.1,2221.2,2223.6,2225.5,1121.0,1120.0,1119.4,1909.8,1909.7,1910.4,13137.8,13142.9,19345.3,19345.3,3383.2,3387.4,3393.9,1767.8,1768.7,1769.7,4334.0,4342.6,4350.9,1904.1,1908.2,1912.0,59940.4,60022.4,4590.6,4592.3,1260.0,1260.8,1262.3,3840.0,3842.0,3843.0,1156.5,1156.1,1156.1,1381.4,1381.2,1381.8,4110.3,4109.7,28.450001,56.840000
68,68,23339.2,23339.1,1497.7,1497.6,1498.2,1101.4,1101.4,1101.4,7047.7,7050.5,7051.1,1400.9,1400.7,1400.9,3813.6,3813.4,90197.0,90461.8,11713.6,11714.6,11717.1,2219.2,2221.1,2222.8,1147.1,1147.4,1148.0,1931.9,1932.1,1933.5,13178.0,13180.2,19444.9,19443.1,3563.4,3562.2,3560.2,1777.8,1777.5,1777.5,4439.4,4429.1,4422.4,1955.1,1952.9,1950.9,60042.1,60056.7,4599.4,4599.5,1271.3,1269.1,1268.0,3840.3,3840.1,3840.9,1154.4,1153.6,1153.5,1377.6,1376.9,1377.1,4112.4,4112.3,28.469999,65.400002
69,69,23341.4,23354.3,1490.6,1491.6,1493.3,1101.4,1101.4,1101.4,7066.5,7071.0,7071.8,1395.3,1395.4,1395.8,3818.1,3818.3,90402.4,90480.0,11728.8,11734.5,11732.6,2224.4,2226.0,2227.1,1147.1,1147.9,1148.7,1931.2,1931.4,1932.3,13168.8,13170.2,19380.2,19387.2,3504.4,3505.4,3506.9,1774.0,1774.3,1774.9,4413.4,4410.1,4405.2,1924.3,1921.7,1918.8,59905.7,59967.7,4599.8,4599.0,1257.6,1256.0,1255.9,3850.2,3850.6,3851.3,1156.1,1155.5,1155.7,1377.6,1377.5,1377.7,4114.7,4115.7,28.490000,66.610001
70,70,23300.9,23312.4,1456.6,1454.9,1454.2,1101.5,1101.4,1101.4,7064.6,7067.2,7070.2,1367.2,1369.8,1371.9,3822.8,3823.1,90159.4,90343.0,11737.0,11740.3,11737.0,2227.7,2229.7,2231.5,1120.2,1116.1,1112.3,1907.6,1905.0,1903.7,13078.3,13089.5,19351.0,19348.9,3252.1,3255.4,3261.8,1761.0,1761.7,1762.9,4298.1,4304.1,4309.0,1858.6,1860.9,1863.6,59824.5,59948.1,4606.9,4607.1,1273.9,1273.8,1274.5,3865.1,3866.0,3866.4,1164.3,1164.1,1164.3,1385.1,1384.5,1384.8,4120.6,4127.0,28.510000,69.809998
71,71,23444.0,23439.5,1510.1,1510.0,1510.6,1101.4,1101.4,1101.4,7124.8,7127.4,7128.8,1406.1,1406.2,1406.5,3831.1,3831.2,90271.0,90319.4,11735.5,11737.8,11744.6,2231.5,2233.8,2235.3,1101.5,1101.5,1101.4,1909.2,1909.5,1909.2,13119.1,13124.8,19362.3,19372.6,3242.6,3241.1,3242.2,1759.6,1759.7,1760.4,4288.2,4291.0,4293.8,1854.0,1855.8,1857.0,59974.3,59982.3,4612.4,4612.3,1279.1,1278.2,1278.1,3866.1,3866.0,3866.4,1165.5,1165.1,1165.1,1385.9,1385.3,1385.8,4124.3,4128.5,28.510000,75.519997
